"","Isocode","Country","Year","PopMale","PopFemale","PopTotal","GrowthRate","PopDensity","GDP","CO2","TFR","LEx","LExMale","LExFemale","CO2.norm","GDP.norm","PopTotal.norm","TFR.norm","Tech"
"104119","COM","Comoros",2005,301.844,298.889,600.733,2.595,322.801,583.647738811681,0.0499389911990851,5.216,59.075,57.688,60.485,0.981634103670016,0.851919238240441,1.45529930473122,0.935941144805311,0.855635820688039
"104138","COM","Comoros",2006,309.898,306.628,616.526,2.5953,331.287,572.775792990729,0.0535257231649598,5.168,59.309,57.948,60.691,1.05213729834589,0.836050043200236,1.49355846798614,0.927328189485017,0.934496950115107
"104215","COM","Comoros",2007,318.169,314.567,632.736,2.5828,339.998,559.44685044074,0.052154453042027,5.112,59.541,58.199,60.905,1.02518269862944,0.816594502077338,1.53282783013154,0.91727974161134,0.932250364819089
"104290","COM","Comoros",2008,326.616,322.675,649.291,2.5554,348.894,549.349185200369,0.0523648102314679,5.051,59.771,58.438,61.127,1.02931761978322,0.801855482789611,1.57293296833741,0.9063341108918,0.953215398187373
"104334","COM","Comoros",2009,335.189,330.908,666.097,2.5178,357.924,NA,0.0510436167705304,4.986,59.999,58.665,61.357,1.00334736031939,NA,1.61364616390901,0.894670733895568,NA
"104440","COM","Comoros",2010,343.847,339.234,683.081,2.4775,367.051,NA,0.0556302986029475,4.919,60.223,58.88,61.593,1.09350623620527,NA,1.65479057147702,0.88264848376099,NA
"104494","CRI","Costa.Rica",1960,678.818,655.226,1334.044,3.4978,26.107,2715.49700245669,0.100446462035735,7.311,61.599,60.241,63.04,0.383659498941159,0.572045804864081,0.433335033267274,2.30267716535433,0.369900839311779
"104558","CRI","Costa.Rica",1961,702.83,678.702,1381.532,3.5242,27.036,2722.53230982572,0.0969937721312282,7.295,62.168,60.786,63.639,0.370471804203927,0.573527860658192,0.448760472053248,2.29763779527559,0.35626307089607
"104618","CRI","Costa.Rica",1962,727.888,703.2,1431.088,3.4883,28.006,2784.74293908579,0.104815357266639,7.221,62.729,61.317,64.236,0.400346678571426,0.586633133635472,0.46485765543595,2.27433070866142,0.376391500254774
"104644","CRI","Costa.Rica",1963,753.569,728.321,1481.89,3.3796,29,2918.67398763206,0.110669482890093,7.085,63.279,61.829,64.832,0.422706758338435,0.614847009177454,0.481359574683025,2.23149606299213,0.379177268030131
"104760","CRI","Costa.Rica",1964,779.303,753.525,1532.828,3.2257,29.997,2961.42715097515,0.120039560863972,6.886,63.818,62.323,65.425,0.4584961664235,0.623853378071605,0.49790567055735,2.1688188976378,0.405343622328999
"104785","CRI","Costa.Rica",1965,804.666,778.412,1583.078,3.0742,30.98,3126.50199481717,0.145918268082811,6.631,64.342,62.796,66.012,0.557340980303481,0.65862799642802,0.514228284670288,2.08850393700787,0.46671413715616
"104833","CRI","Costa.Rica",1966,829.609,802.891,1632.5,2.942,31.947,3258.49138284056,0.166003062787136,6.328,64.85,63.247,66.59,0.634055700926056,0.686432842331753,0.530281941082022,1.99307086614173,0.509447604070153
"104899","CRI","Costa.Rica",1967,854.212,827.029,1681.241,2.8089,32.901,3348.61400740346,0.142156894817578,5.997,65.345,63.679,67.159,0.542974256448573,0.705418048081531,0.54611438952936,1.8888188976378,0.424524577939659
"104984","CRI","Costa.Rica",1968,878.351,850.784,1729.135,2.6785,33.838,3497.152231708,0.163665647852828,5.657,65.829,64.1,67.719,0.625127845983836,0.736709066999431,0.561671708540804,1.78173228346457,0.467996921520612
"105044","CRI","Costa.Rica",1969,901.918,874.158,1776.076,2.5587,34.757,3622.19192697528,0.176231197313628,5.324,66.309,64.518,68.274,0.673122492209762,0.763049892658388,0.57691946633335,1.67685039370079,0.486531914560338
"105119","CRI","Costa.Rica",1970,924.91,897.196,1822.106,2.4363,35.658,3753.91164507759,0.187146082609903,5.012,66.792,64.943,68.829,0.714812357028287,0.790797929975365,0.591871305688943,1.57858267716535,0.498536194519396
"105203","CRI","Costa.Rica",1971,947.177,919.867,1867.044,2.3381,36.537,3889.37051000316,0.223347708998824,4.733,67.29,65.386,69.391,0.853085996136523,0.819333654869267,0.606468432713962,1.49070866141732,0.574251561851438
"105248","CRI","Costa.Rica",1972,968.929,942.283,1911.212,2.3057,37.401,4118.16899535425,0.251672760531014,4.488,67.806,65.853,69.965,0.961274725317014,0.867532276921119,0.620815442069987,1.41354330708661,0.611127811449526
"105316","CRI","Costa.Rica",1973,990.969,964.821,1955.79,2.3531,38.274,4318.58369542453,0.285306704707561,4.278,68.344,66.349,70.553,1.08974099390095,0.909751579061602,0.635295630964048,1.34740157480315,0.660648779389962
"105379","CRI","Costa.Rica",1974,1014.374,987.984,2002.358,2.4526,39.185,4430.13441119679,0.259693820985059,4.105,68.903,66.873,71.154,0.991911504078627,0.933250820242637,0.650422227859795,1.29291338582677,0.586198514267885
"105454","CRI","Costa.Rica",1975,1039.912,1012.164,2052.076,2.5643,40.158,4396.00719027104,0.270945130687168,3.968,69.484,67.426,71.768,1.03488635610684,0.926061589856972,0.666572033401428,1.24976377952756,0.616343693174128
"105502","CRI","Costa.Rica",1976,1067.904,1037.473,2105.377,2.6561,41.201,4506.09868312183,0.270260385669645,3.864,70.085,68.007,72.395,1.03227094362738,0.949253431563865,0.683885698174238,1.21700787401575,0.599765794481909
"105568","CRI","Costa.Rica",1977,1098.132,1063.915,2162.047,2.7262,42.31,4768.89023584546,0.329780064910707,3.784,70.696,68.603,73.025,1.25960886924432,1.00461302325307,0.702293708955934,1.19181102362205,0.691523705938772
"105625","CRI","Costa.Rica",1978,1130.158,1091.642,2221.8,2.7644,43.479,4870.07877786885,0.358718156449725,3.719,71.304,69.202,73.648,1.37013913059114,1.02592937194078,0.721703164898032,1.17133858267717,0.736575675284458
"105681","CRI","Costa.Rica",1979,1163.286,1120.79,2284.076,2.7784,44.698,4959.47717277496,0.333614117919018,3.665,71.898,69.789,74.254,1.27425319644381,1.04476201168274,0.741932162241262,1.15433070866142,0.672680015043506
"105762","CRI","Costa.Rica",1980,1196.992,1151.435,2348.427,2.7884,45.957,4910.56593728742,0.286148983979489,3.618,72.463,70.348,74.827,1.09295811511047,1.03445838511049,0.762835177978211,1.13952755905512,0.582720989054791
"105797","CRI","Costa.Rica",1981,1231.163,1183.669,2414.832,2.7981,47.257,4681.2328589882,0.254261994209121,3.577,72.984,70.864,75.356,0.971164412573801,0.986147145864433,0.784405390717906,1.12661417322835,0.543151776184185
"105889","CRI","Costa.Rica",1982,1265.927,1217.428,2483.355,2.7938,48.598,4234.50739925102,0.229125517696825,3.544,73.454,71.328,75.832,0.875154580187444,0.892040091083139,0.806663589461406,1.11622047244095,0.541091314983537
"105980","CRI","Costa.Rica",1983,1301.288,1252.426,2553.714,2.7746,49.975,4229.95462149904,0.224770667349594,3.517,73.87,71.737,76.254,0.858521045582827,0.891081004252573,0.829518172672793,1.10771653543307,0.531378436560952
"106005","CRI","Costa.Rica",1984,1337.304,1288.257,2625.561,2.7444,51.381,4431.91006404634,0.207955556926691,3.491,74.231,72.09,76.621,0.794295022000275,0.933624878752944,0.852856100158809,1.09952755905512,0.469223323401169
"106064","CRI","Costa.Rica",1985,1374.006,1324.61,2698.616,2.7127,52.81,4340.33031142957,0.229006275809526,3.463,74.542,72.389,76.936,0.874699130768849,0.914332714833221,0.876586420039817,1.09070866141732,0.527624073233491
"106146","CRI","Costa.Rica",1986,1411.399,1361.424,2772.823,2.6801,54.263,4446.01780830822,0.256417376803352,3.427,74.808,72.644,77.207,0.979396987314312,0.936596812035802,0.900690941939893,1.07937007874016,0.576734929680641
"106190","CRI","Costa.Rica",1987,1449.413,1398.728,2848.141,2.6405,55.737,4529.94862867529,0.264031872017572,3.38,75.044,72.868,77.447,1.00848087299202,0.954277654123401,0.925156347905232,1.06456692913386,0.582858424367571
